period prob
250 1.0000959611296691
260 1.0000959611296691
270 1.0000959611296691
280 0.9093400236127509
290 0.7957573628748987
300 0.7344268018018018
310 0.6817477800057291
320 0.5582434512557386
330 0.3915968479307026
340 0.2898496222276383
350 0.1523050642112915
360 0.07148940135103657
370 0.07148940135103657
380 0.07148940135103657
390 0.11396410722398909
400 0.224302466367713
410 0.32839871168369617
420 0.429972984942427
430 0.4954049551473729
440 0.5881791865532269
450 0.6541373289769247
460 0.7160604554865425
470 0.7652379014989292
480 0.8048450520833333
490 0.8303706163104378
500 0.8512838940871988
510 0.8644924035839502
520 0.8644924035839502
530 0.8644924035839502
540 0.8499423963133641
550 0.8282223754366613
560 0.8087633689839572
570 0.7955943241768237
580 0.7843797968397292
590 0.7575313118589168
600 0.7332058876811595
610 0.7267637134778512
620 0.703134939111748
630 0.6893118686868687
640 0.6581327808471454
650 0.6032145607280365
660 0.5842028731604766
670 0.549670343355275
680 0.5463034744842563
690 0.5170801953818828
700 0.5095744642857143
710 0.45447456445993034
720 0.4500325565455791
730 0.4427998476641841
740 0.4327175591740809
750 0.409875021211607
760 0.40893071319667973
770 0.40522863542384563
780 0.40522863542384563
790 0.40522863542384563
800 0.39987343186114455
810 0.39841013628620103
820 0.3826824987522875
830 0.3822852022529442
840 0.3770610276544896
850 0.37624865287675996
860 0.36523985301486556
870 0.3664756076686067
880 0.36523985301486556
890 0.3471339591836735
900 0.33874775896414344
910 0.33424746868028143
920 0.32894265899864683
930 0.31651416122004356
940 0.2957751671946498
950 0.29353381270330425
960 0.2799968428049186
970 0.26067837653478854
980 0.24894244058654982
990 0.24525471063257068
1000 0.22547248722316868
1010 0.20776271186440678
1020 0.1914563285834032
1030 0.17470293807178044
1040 0.16755472473294988
1050 0.16448448335644936
1060 0.15500564334085778
1070 0.13161149737154487
1080 0.12978935185185186
1090 0.12230473421926912
1100 0.11818742714404663
1110 0.10722513908205841
1120 0.09905384222184359
1130 0.09690889188278881
1140 0.0861693930966792
1150 0.08587957852483692
1160 0.07990430541540533
1170 0.07398050139275766
1180 0.06684866494401379
1190 0.06435202492211838
1200 0.06061996969186732
1210 0.05330674157303371
1220 0.052271742780389534
1230 0.051806887238352466
